seed,pre_relation_defect,learned_orbit_accuracy,raw_projected_accuracy,raw_projected_min_margin,global_midpoint_accuracy,global_midpoint_min_margin,coset_midpoint_accuracy,coset_midpoint_min_margin,full_procrustes_accuracy,full_procrustes_min_margin,coset_alignment_error,full_procrustes_alignment_error,phase_vector_norm
0,0.8961497969918374,1.0,1.0,2.7207807257722267,1.0,0.5700483495683173,1.0,3.9150606833588117,1.0,2.602883702805973,0.1485364798871118,0.2903039837835367,0.7232110926268535
1,1.175638864563375,1.0,0.7920792079207921,-1.4369906629694666,0.594059405940594,-4.459671942869508,1.0,1.2047335355157367,0.801980198019802,-1.357787278799944,0.265574042113862,0.5129943454146945,1.2992274724170427
2,1.6071322508456893,1.0,0.9504950495049505,-0.3758316002285884,0.693069306930693,-3.598917839502519,1.0,2.6723410029488237,1.0,0.5455056231381912,0.25394892430184324,0.41630532081753274,1.2504360962690306
3,0.6529956733983228,1.0,1.0,2.8615800571160674,1.0,1.3776297815592304,1.0,3.749646461103361,1.0,2.8636201897045535,0.10722474697643355,0.21075112831439058,0.5211819062503144
4,1.203712213703288,1.0,1.0,1.9448588470079136,0.995049504950495,-0.015807288903857852,1.0,3.8252665360551728,1.0,2.0654766165098524,0.17008665574844062,0.32232997849573297,0.8310062326073754
5,0.9586775353451112,1.0,1.0,2.667351567255565,1.0,0.7333056172074555,1.0,3.706846056118251,1.0,2.864508113203758,0.14878771992882894,0.2778989465159571,0.7246158971731174
6,0.8765159486934483,1.0,1.0,1.9717715807171619,1.0,0.7180016503673228,1.0,3.1537475423789747,1.0,2.4087771472023576,0.1429236163649783,0.24284775294760455,0.6956272086418263
7,1.1776933535675809,1.0,0.9900990099009901,-0.11577345265774941,0.8415841584158416,-1.4897698829027384,1.0,2.009821196835876,1.0,0.403642253074576,0.1920658609794005,0.3435110418220017,0.9377905411233232
8,1.062299244072705,1.0,1.0,1.8950316893900103,0.995049504950495,-0.0546210105327134,1.0,3.390343109495107,1.0,2.295191437211077,0.16822775417885968,0.3189477655584487,0.820287919470625
9,1.2722588984758156,1.0,1.0,0.33044224130081723,0.8366336633663366,-1.7303773040208599,1.0,2.886734961538516,1.0,0.2359324583496294,0.21638279854938217,0.418584989638378,1.0572303563979575
