seed,raw_orbit_accuracy,compiled_orbit_accuracy,compiled_orbit_min_margin,raw_L16,raw_L64,raw_L256,raw_L1024,compiled_L16,compiled_L64,compiled_L256,compiled_L1024,raw_eta1e3_L16,raw_eta1e3_L64,raw_eta1e3_L256,raw_eta1e3_L1024,compiled_eta1e3_L16,compiled_eta1e3_L64,compiled_eta1e3_L256,compiled_eta1e3_L1024,phase_vector_norm,sidecar_bits
0,1.0,1.0,3.9150606833588117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7232110926268535,1
1,0.7920792079207921,1.0,1.2047335355157367,0.7783203125,0.861572265625,0.80523681640625,0.7923431396484375,1.0,1.0,1.0,1.0,0.7861328125,0.84765625,0.81219482421875,0.764801025390625,1.0,1.0,1.0,1.0,1.2992274724170427,1
2,0.9504950495049505,1.0,2.6723410029488237,0.958984375,0.947265625,0.94903564453125,0.9523162841796875,1.0,1.0,1.0,1.0,0.951171875,0.947021484375,0.956298828125,0.96221923828125,1.0,1.0,1.0,1.0,1.2504360962690306,1
3,1.0,1.0,3.749646461103361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5211819062503144,1
4,1.0,1.0,3.8252665360551728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99993896484375,0.99993896484375,1.0,1.0,1.0,1.0,0.8310062326073754,1
5,1.0,1.0,3.706846056118251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7246158971731174,1
6,1.0,1.0,3.1537475423789747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6956272086418263,1
7,0.9900990099009901,1.0,2.009821196835876,0.9970703125,0.984619140625,0.99224853515625,0.990570068359375,1.0,1.0,1.0,1.0,0.9970703125,0.988037109375,0.99298095703125,0.9957733154296875,1.0,1.0,1.0,1.0,0.9377905411233232,1
8,1.0,1.0,3.390343109495107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.820287919470625,1
9,1.0,1.0,2.886734961538516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99993896484375,0.9988861083984375,1.0,1.0,1.0,1.0,1.0572303563979575,1
