seed,raw_orbit_accuracy,compiled_orbit_accuracy,compiled_orbit_min_margin,raw_L16,raw_L64,raw_L256,raw_L1024,compiled_L16,compiled_L64,compiled_L256,compiled_L1024,raw_eta1e3_L16,raw_eta1e3_L64,raw_eta1e3_L256,raw_eta1e3_L1024,compiled_eta1e3_L16,compiled_eta1e3_L64,compiled_eta1e3_L256,compiled_eta1e3_L1024,sidecar_bits
0,1.0,1.0,2.9197253296890144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1,0.9900990099009901,1.0,2.0441457522641704,0.9921875,0.99560546875,0.98980712890625,0.98944091796875,1.0,1.0,1.0,1.0,0.9921875,0.992431640625,0.99053955078125,0.9900360107421875,1.0,1.0,1.0,1.0,1
2,0.9603960396039604,1.0,2.2905926849858655,0.958984375,0.966796875,0.96038818359375,0.961517333984375,1.0,1.0,1.0,1.0,0.962890625,0.961181640625,0.9595947265625,0.96099853515625,1.0,1.0,1.0,1.0,1
3,1.0,1.0,3.21629501320987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
4,1.0,1.0,3.404239901557114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
5,1.0,1.0,3.2493146307121625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
6,1.0,1.0,2.4983623335734917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
7,1.0,1.0,2.105979809386456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
8,1.0,1.0,3.1337094933327334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
9,0.9900990099009901,1.0,2.4815597318651523,0.990234375,0.993408203125,0.9898681640625,0.98992919921875,1.0,1.0,1.0,1.0,0.990234375,0.992431640625,0.9903564453125,0.9899444580078125,1.0,1.0,1.0,1.0,1
