seed,pre_L16,pre_L64,pre_L256,pre_L1024,pre_relation_defect,learned_orbit_accuracy,raw_projected_accuracy,raw_projected_min_margin,global_midpoint_accuracy,global_midpoint_min_margin,block_procrustes_accuracy,block_procrustes_min_margin,full_procrustes_accuracy,full_procrustes_min_margin,block_alignment_error,full_alignment_error
0,1.0,1.0,0.9993896484375,0.961700439453125,0.8961497969918374,1.0,1.0,2.7207807257722267,1.0,0.5700483495683173,1.0,2.7207807257722267,1.0,2.602883702805973,0.29163361860832954,0.2903039837835367
1,0.9912109375,0.94873046875,0.82440185546875,0.63153076171875,1.175638864563375,1.0,0.7920792079207921,-1.4369906629694666,0.594059405940594,-4.459671942869508,0.7920792079207921,-1.4369906629694666,0.801980198019802,-1.357787278799944,0.5141138267984415,0.5129943454146945
2,0.9951171875,0.9873046875,0.90643310546875,0.7524261474609375,1.6071322508456893,1.0,0.9504950495049505,-0.3758316002285884,0.693069306930693,-3.598917839502519,0.9504950495049505,-0.3758316002285884,1.0,0.5455056231381912,0.4825325193490955,0.41630532081753274
3,1.0,1.0,0.9998779296875,0.9499969482421875,0.6529956733983228,1.0,1.0,2.8615800571160674,1.0,1.3776297815592304,1.0,2.8615800571160674,1.0,2.8636201897045535,0.21158192781670382,0.21075112831439058
4,1.0,1.0,0.99932861328125,0.9217681884765625,1.203712213703288,1.0,1.0,1.9448588470079136,0.995049504950495,-0.015807288903857852,1.0,1.9448588470079127,1.0,2.0654766165098524,0.33058416164128934,0.32232997849573297
5,1.0,1.0,0.9925537109375,0.9204254150390625,0.9586775353451112,1.0,1.0,2.667351567255565,1.0,0.7333056172074555,1.0,2.667351567255565,1.0,2.864508113203758,0.2919201220538597,0.2778989465159571
6,1.0,1.0,0.997802734375,0.9593963623046875,0.8765159486934483,1.0,1.0,1.9717715807171619,1.0,0.7180016503673228,1.0,1.9717715807171619,1.0,2.4087771472023576,0.2809218409003468,0.24284775294760455
7,0.9990234375,0.991455078125,0.96197509765625,0.8941192626953125,1.1776933535675809,1.0,0.9900990099009901,-0.11577345265774941,0.8415841584158416,-1.4897698829027384,0.9900990099009901,-0.11577345265774941,1.0,0.403642253074576,0.37399056044105866,0.3435110418220017
8,1.0,1.0,0.99462890625,0.920867919921875,1.062299244072705,1.0,1.0,1.8950316893900103,0.995049504950495,-0.0546210105327134,1.0,1.8950316893900112,1.0,2.295191437211077,0.3288795074765325,0.3189477655584487
9,1.0,0.993408203125,0.975830078125,0.8890533447265625,1.2722588984758156,1.0,1.0,0.33044224130081723,0.8366336633663366,-1.7303773040208599,1.0,0.33044224130081634,1.0,0.2359324583496294,0.4205373606558121,0.418584989638378
