seed,pre_L16,pre_L64,pre_L256,pre_L1024,pre_relation_defect,learned_orbit_accuracy,raw_projected_accuracy,raw_projected_min_margin,midpoint_accuracy,midpoint_min_margin,block_procrustes_accuracy,block_procrustes_min_margin,full_procrustes_accuracy,full_procrustes_min_margin,block_alignment_error,full_alignment_error
0,1.000000000,1.000000000,0.996215820,0.895294189,0.359931507,1.000000000,1.000000000,3.814572134,1.000000000,3.364847020,1.000000000,3.814572134,1.000000000,3.814332293,0.114608922,0.101798613
1,1.000000000,1.000000000,0.991760254,0.962097168,0.915887847,1.000000000,1.000000000,3.767978691,1.000000000,3.622049376,1.000000000,3.767978691,1.000000000,3.702004440,0.199407741,0.192948150
2,1.000000000,0.949218750,0.750061035,0.572265625,0.911026564,1.000000000,1.000000000,1.211768798,0.919354839,-0.537949942,1.000000000,1.211768798,1.000000000,1.866616761,0.315164671,0.255611644
3,1.000000000,1.000000000,1.000000000,0.980651855,0.243208015,1.000000000,1.000000000,4.376967115,1.000000000,4.083369161,1.000000000,4.376967115,1.000000000,4.368555911,0.080566936,0.079384003
4,1.000000000,1.000000000,0.990112305,0.749984741,0.531459066,1.000000000,1.000000000,3.763820042,1.000000000,2.921251020,1.000000000,3.763820042,1.000000000,3.787892809,0.174657934,0.171709599
5,1.000000000,1.000000000,0.980346680,0.883560181,0.559553844,1.000000000,1.000000000,3.475931677,1.000000000,2.924382909,1.000000000,3.475931677,1.000000000,3.417135437,0.171649838,0.168356902
6,1.000000000,0.968017578,0.806457520,0.632736206,1.071066846,1.000000000,1.000000000,2.129757111,1.000000000,0.514680449,1.000000000,2.129757111,1.000000000,2.096847332,0.263727719,0.242548148
7,1.000000000,0.980712891,0.811096191,0.541610718,0.746291485,1.000000000,1.000000000,2.258685387,1.000000000,0.810284677,1.000000000,2.258685387,1.000000000,2.414289990,0.239904138,0.231615582
8,1.000000000,1.000000000,0.992187500,0.852966309,0.526542031,1.000000000,1.000000000,3.754256272,1.000000000,3.331892824,1.000000000,3.754256272,1.000000000,4.017409612,0.162167488,0.127457111
9,1.000000000,1.000000000,0.999694824,0.948867798,0.487331252,1.000000000,1.000000000,3.737980245,1.000000000,3.528339651,1.000000000,3.737980245,1.000000000,3.767320524,0.125010067,0.122420922
