n,variant,seed,state_relation_defect,orbit_radius,clean_L16,clean_L64,clean_L256,clean_L1024,projected_radius,projected_clean_L16,projected_clean_L64,projected_clean_L256,projected_clean_L1024,projected_frequencies
31,learned,0,0.26893973830404627,,1.0,1.0,0.37457275390625,0.0901031494140625,0.5959812342532801,1.0,1.0,1.0,1.0,"2 3 20 27 12 22 3 4"
31,learned,1,0.6275430499988828,,1.0,0.686279296875,0.17047119140625,0.0883026123046875,0.6012096974852079,1.0,1.0,1.0,1.0,"6 16 13 22 30 6 20 1"
31,learned,2,0.4011568343412788,,1.0,0.890380859375,0.379150390625,0.09478759765625,0.5055922991746279,1.0,1.0,1.0,1.0,"12 20 5 17 11 14 30 11"
31,low_coherence,0,2.903481264822451e-06,0.6447876902804539,1.0,1.0,1.0,1.0,,,,,,
31,low_coherence,1,3.951092016819152e-06,0.6383324229067033,1.0,1.0,1.0,1.0,,,,,,
31,low_coherence,2,4.256559991962735e-06,0.6568793078368742,1.0,1.0,1.0,1.0,,,,,,
61,learned,0,0.4945012649861533,,1.0,0.998291015625,0.32269287109375,0.077972412109375,0.5624361386862997,1.0,1.0,1.0,1.0,"3 10 60 2 18 15 27 42"
61,learned,1,0.6599776401731535,,1.0,0.879150390625,0.22723388671875,0.070648193359375,0.5262805561508311,1.0,1.0,1.0,1.0,"32 58 4 26 8 34 43 53"
61,learned,2,0.4242706203526558,,1.0,0.999267578125,0.32171630859375,0.0958709716796875,0.6018937245257253,1.0,1.0,1.0,1.0,"17 6 27 40 2 5 18 31"
61,low_coherence,0,6.6403460635300305e-06,0.6010812838590571,1.0,1.0,1.0,1.0,,,,,,
61,low_coherence,1,6.980624596978472e-06,0.5966740067114108,1.0,1.0,1.0,1.0,,,,,,
61,low_coherence,2,5.739033225611343e-06,0.5974545346344163,1.0,1.0,1.0,1.0,,,,,,
101,learned,0,0.7256135620255496,,1.0,0.98486328125,0.3291015625,0.088470458984375,0.4676585063344273,1.0,1.0,1.0,1.0,"71 98 49 89 95 76 33 4"
101,learned,1,0.9094931458032274,,0.99609375,0.788330078125,0.28204345703125,0.0736541748046875,0.40681655020293434,0.8330078125,0.817626953125,0.819091796875,0.820098876953125,"82 6 33 55 43 9 30 18"
101,learned,2,0.6924379364163721,,1.0,0.998779296875,0.3623046875,0.0878448486328125,0.46208215521599744,1.0,1.0,1.0,1.0,"15 21 11 100 2 44 2 40"
101,low_coherence,0,8.199207162595854e-06,0.5796593697027468,1.0,1.0,1.0,1.0,,,,,,
101,low_coherence,1,3.6936329050777436e-06,0.5720097983453188,1.0,1.0,1.0,1.0,,,,,,
101,low_coherence,2,1.3328474659374128e-05,0.5758534369539751,1.0,1.0,1.0,1.0,,,,,,
