compensated_accuracy,compensated_eta_1e3_accuracy,compensated_min_margin,max_phase_mismatch_after,max_phase_mismatch_before,mean_phase_mismatch_after,mean_phase_mismatch_before,phase_adapter_norm,pre_orbit_accuracy,projected_accuracy,projected_frequencies,projected_min_margin,seed,state_relation_defect
1.000000,1.000000,1.715157,0.771532,1.543064,0.142985,0.283167,1.090478,1.000000,1.000000,"[71, 98, 49, 89, 95, 76, 33, 4]",0.047758,0,0.725614
1.000000,1.000000,0.577864,0.823996,1.647992,0.195609,0.387382,1.406033,0.980198,0.821782,"[82, 6, 33, 55, 43, 9, 30, 18]",-1.266548,1,0.909493
1.000000,1.000000,2.449321,0.876267,1.752533,0.145932,0.289003,1.064182,1.000000,1.000000,"[15, 21, 11, 100, 2, 44, 2, 40]",0.276708,2,0.692438
1.000000,1.000000,2.462801,0.422739,0.845478,0.098234,0.194542,0.630926,1.000000,1.000000,"[21, 14, 70, 76, 80, 68, 38, 3]",1.373963,3,0.442659
1.000000,1.000000,2.565140,0.831475,1.662950,0.128568,0.254616,1.019664,1.000000,1.000000,"[99, 55, 42, 21, 64, 42, 27, 37]",0.814294,4,0.668659
1.000000,1.000000,0.986948,0.736465,1.472931,0.156077,0.309094,1.163707,0.980198,0.831683,"[23, 35, 87, 38, 11, 46, 63, 36]",-1.014763,5,0.770409
1.000000,1.000000,1.987398,0.874373,1.748745,0.131281,0.259989,1.083309,1.000000,0.980198,"[41, 68, 65, 61, 49, 6, 2, 42]",-0.087423,6,0.703562
1.000000,1.000000,0.117587,1.362787,2.725574,0.226790,0.449134,1.670869,0.930693,0.465347,"[84, 27, 25, 83, 63, 21, 35, 21]",-2.671325,7,0.958047
1.000000,1.000000,1.919062,0.427100,0.854199,0.113360,0.224497,0.707241,1.000000,1.000000,"[69, 2, 7, 96, 71, 88, 71, 25]",0.557547,8,0.495644
1.000000,1.000000,1.117920,0.866721,1.733442,0.193603,0.383410,1.326418,0.970297,0.752475,"[35, 27, 68, 2, 45, 81, 27, 88]",-1.783271,9,0.875566
