seed,state_relation_defect,pre_l16,pre_l1024,baseline_orbit_accuracy,baseline_wrong,baseline_min_margin,best_tau,best_orbit_accuracy,best_wrong,best_min_margin,rescued,margin_improvement
0,0.725614,1.000000,0.084000,1.000000,0,0.047758,-0.5000,1.000000,0,0.188047,false,0.140289
1,0.909493,0.996094,0.072540,0.821782,18,-1.266548,-0.0350,0.841584,16,-1.264666,false,0.001882
2,0.692438,1.000000,0.089249,1.000000,0,0.276708,0.3660,1.000000,0,1.296706,false,1.019998
3,0.442659,1.000000,0.102371,1.000000,0,1.373963,-0.1490,1.000000,0,1.862398,false,0.488435
4,0.668659,1.000000,0.086227,1.000000,0,0.814294,-0.0695,1.000000,0,1.458431,false,0.644136
5,0.770409,0.991211,0.083878,0.831683,17,-1.014763,0.2685,1.000000,0,0.019277,true,1.034040
6,0.703562,1.000000,0.134735,0.980198,2,-0.087423,-0.2625,1.000000,0,1.113570,true,1.200994
7,0.958047,0.981445,0.048401,0.465347,54,-2.671325,-0.2675,0.514851,49,-2.250470,false,0.420855
8,0.495644,1.000000,0.096222,1.000000,0,0.557547,-0.1800,1.000000,0,0.636333,false,0.078787
9,0.875566,0.996094,0.076752,0.752475,25,-1.783271,0.2890,0.990099,1,-0.069518,false,1.713753
