calibration_size,method,mean_acc,median_acc,perfect,total,perfect_rate,mean_eta1e3,median_wrong,mean_margin
4,full_hidden,0.489769,0.465347,0,15,0.000000,0.485149,54.000000,-7.372665
4,full_readout,0.582838,0.574257,0,15,0.000000,0.588119,43.000000,-5.930017
4,mode_phase,1.000000,1.000000,15,15,1.000000,1.000000,0.000000,1.363695
4,rank1_hidden,0.264686,0.257426,0,15,0.000000,0.258086,75.000000,-36.161476
4,tau,0.850165,0.990099,4,15,0.266667,0.843564,1.000000,-0.552475
4,tau_rank1_hidden,0.291089,0.277228,0,15,0.000000,0.286469,73.000000,-33.780728
8,full_hidden,0.472607,0.445545,0,15,0.000000,0.464686,56.000000,-8.263367
8,full_readout,0.428383,0.415842,0,15,0.000000,0.417822,59.000000,-6.475198
8,mode_phase,1.000000,1.000000,15,15,1.000000,0.999340,0.000000,1.458442
8,rank1_hidden,0.247525,0.237624,0,15,0.000000,0.249505,77.000000,-59.197027
8,tau,0.855446,0.980198,3,15,0.200000,0.848845,2.000000,-0.553455
8,tau_rank1_hidden,0.278548,0.277228,0,15,0.000000,0.273927,73.000000,-48.289882
16,full_hidden,0.541254,0.514851,0,15,0.000000,0.539274,49.000000,-10.846430
16,full_readout,0.311551,0.287129,0,15,0.000000,0.300330,72.000000,-7.306941
16,mode_phase,1.000000,1.000000,15,15,1.000000,1.000000,0.000000,1.634028
16,rank1_hidden,0.302310,0.297030,0,15,0.000000,0.297030,71.000000,-70.190081
16,tau,0.850825,0.990099,3,15,0.200000,0.842904,1.000000,-0.532769
16,tau_rank1_hidden,0.332673,0.366337,0,15,0.000000,0.323432,64.000000,-76.327687
32,full_hidden,0.716172,0.722772,0,15,0.000000,0.707591,28.000000,-13.060293
32,full_readout,0.356436,0.326733,0,15,0.000000,0.354455,68.000000,-8.096838
32,mode_phase,1.000000,1.000000,15,15,1.000000,1.000000,0.000000,1.747217
32,rank1_hidden,0.678548,0.643564,0,15,0.000000,0.683168,36.000000,-9.796806
32,tau,0.861386,0.980198,3,15,0.200000,0.852805,2.000000,-0.557276
32,tau_rank1_hidden,0.618482,0.603960,0,15,0.000000,0.617822,40.000000,-17.680987
64,full_hidden,0.971617,0.980198,4,15,0.266667,0.969637,2.000000,-2.950693
64,full_readout,0.642244,0.633663,0,15,0.000000,0.639604,37.000000,-8.451981
64,mode_phase,1.000000,1.000000,15,15,1.000000,1.000000,0.000000,1.801134
64,rank1_hidden,0.887129,0.891089,0,15,0.000000,0.883828,11.000000,-2.159193
64,tau,0.864026,0.990099,5,15,0.333333,0.854125,1.000000,-0.490804
64,tau_rank1_hidden,0.912211,0.980198,3,15,0.200000,0.907591,2.000000,-1.344375
101,full_hidden,1.000000,1.000000,15,15,1.000000,1.000000,0.000000,6.982587
101,full_readout,1.000000,1.000000,15,15,1.000000,1.000000,0.000000,6.054645
101,mode_phase,1.000000,1.000000,15,15,1.000000,1.000000,0.000000,1.815480
101,rank1_hidden,0.930693,0.940594,3,15,0.200000,0.925413,6.000000,-1.018347
101,tau,0.869307,0.990099,6,15,0.400000,0.859406,1.000000,-0.490721
101,tau_rank1_hidden,0.943234,0.990099,7,15,0.466667,0.936634,1.000000,-0.109339
