seed,pre_L16,pre_L64,pre_L256,pre_L1024,state_relation_defect,max_snap_distance,mean_snap_distance,projected_radius,post_L16,post_L64,post_L256,post_L1024,post_drift_L1024,projected_frequencies
0,1.0,0.9833984375,0.3253173828125,0.0914306640625,0.7291850697583316,0.7229842663353624,0.3743269600395129,0.4676585063344273,1.0,1.0,1.0,1.0,0.4041595458984375,"71 98 49 89 95 76 33 4"
1,0.99609375,0.777587890625,0.2518310546875,0.06512451171875,0.917288597686395,0.91001737143325,0.4778666001006935,0.40681655020293434,0.8330078125,0.817626953125,0.819091796875,0.820098876953125,0.2163848876953125,"82 6 33 55 43 9 30 18"
2,1.0,0.998779296875,0.36553955078125,0.0887908935546875,0.6909284430886938,0.6853390279329687,0.3586739204527763,0.46208215521599744,1.0,1.0,1.0,1.0,0.493011474609375,"15 21 11 100 2 44 2 40"
3,1.0,1.0,0.4171142578125,0.106170654296875,0.44316336849793064,0.4389291462803565,0.22136975627693548,0.45348805264176384,1.0,1.0,1.0,1.0,0.5609588623046875,"21 14 70 76 80 68 38 3"
4,1.0,0.9921875,0.34710693359375,0.0886993408203125,0.6687476026997675,0.6632352921864394,0.345712754411689,0.49296271972846994,1.0,1.0,1.0,1.0,0.3484344482421875,"99 55 42 21 64 42 27 37"
5,0.9912109375,0.96435546875,0.32489013671875,0.0980377197265625,0.7737440417487812,0.7672416162640503,0.3981878408562241,0.4992427142572299,0.8671875,0.825927734375,0.83282470703125,0.8313140869140625,0.4003753662109375,"23 35 87 38 11 46 63 36"
6,1.0,0.994140625,0.354248046875,0.1367645263671875,0.7029691344494491,0.6973094900810743,0.36521912810943247,0.5581168894215147,0.9833984375,0.980224609375,0.98052978515625,0.980316162109375,0.2113037109375,"41 68 65 61 49 6 2 42"
7,0.9814453125,0.648681640625,0.1912841796875,0.0527191162109375,0.9560975329777734,0.9506067061777239,0.5294006092649383,0.3999150574603652,0.5224609375,0.47314453125,0.46697998046875,0.464691162109375,0.171417236328125,"84 27 25 83 63 21 35 21"
8,1.0,0.99853515625,0.36834716796875,0.0940704345703125,0.505082917453405,0.5002769464871862,0.25255506875968775,0.42721377163281427,1.0,1.0,1.0,1.0,0.3585968017578125,"69 2 7 96 71 88 71 25"
9,0.99609375,0.8466796875,0.25762939453125,0.0833587646484375,0.8843571527671116,0.8770072724169079,0.4563654640922175,0.4711727745125508,0.7177734375,0.752197265625,0.75640869140625,0.7506866455078125,0.19677734375,"35 27 68 2 45 81 27 88"
