variant,seed,orbit_radius,state_relation_defect,clean_L16,clean_L64,clean_L256,clean_L1024,drift_L1024,projected_radius,projected_state_relation_defect,projected_clean_L16,projected_clean_L64,projected_clean_L256,projected_clean_L1024,projected_drift_L1024,projected_frequencies
low_coherence,0,0.6447876902804539,2.903481264822451e-06,1.0,1.0,1.0,1.0,0.53155517578125,,,,,,,,
low_coherence,1,0.6383324229067033,3.951092016819152e-06,1.0,1.0,1.0,1.0,0.492431640625,,,,,,,,
low_coherence,2,0.6568793078368742,4.256559991962735e-06,1.0,1.0,1.0,1.0,0.5379180908203125,,,,,,,,
random_characters,0,0.5578350053351491,1.2625806848019414e-06,1.0,1.0,1.0,1.0,0.4929656982421875,,,,,,,,
random_characters,1,0.541797753548713,2.3087377381243994e-06,1.0,1.0,1.0,1.0,0.3752593994140625,,,,,,,,
random_characters,2,0.5903345290918143,2.010891962509604e-06,1.0,1.0,1.0,1.0,0.39801025390625,,,,,,,,
prime_characters,0,0.6034465813376162,1.4649902914081481e-06,1.0,1.0,1.0,1.0,0.507659912109375,,,,,,,,
prime_characters,1,0.6034465813376162,1.4649902914081481e-06,1.0,1.0,1.0,1.0,0.51654052734375,,,,,,,,
prime_characters,2,0.6034465813376162,1.4649902914081481e-06,1.0,1.0,1.0,1.0,0.5104522705078125,,,,,,,,
geometric_characters,0,0.5621438067670882,9.014108659497774e-07,1.0,1.0,1.0,1.0,0.4362030029296875,,,,,,,,
geometric_characters,1,0.5621438067670882,9.014108659497774e-07,1.0,1.0,1.0,1.0,0.440399169921875,,,,,,,,
geometric_characters,2,0.5621438067670882,9.014108659497774e-07,1.0,1.0,1.0,1.0,0.436767578125,,,,,,,,
rope,0,,1.061828700480336,0.8544921875,0.279052734375,0.10980224609375,0.057220458984375,0.0540313720703125,0.1857549087596353,2.7318960805413904e-07,0.29296875,0.27490234375,0.26519775390625,0.2599945068359375,0.0297698974609375,"5 2 0 0 0 0 0 0"
rope,1,,1.061828700480336,0.8515625,0.285400390625,0.11981201171875,0.0600433349609375,0.0552978515625,0.1857549087596353,2.7318960805413904e-07,0.283203125,0.24560546875,0.22509765625,0.2278289794921875,0.026123046875,"5 2 0 0 0 0 0 0"
rope,2,,1.061828700480336,0.8857421875,0.27001953125,0.11602783203125,0.0552978515625,0.0542144775390625,0.1857549087596353,2.7318960805413904e-07,0.2607421875,0.2333984375,0.227783203125,0.227386474609375,0.0237274169921875,"5 2 0 0 0 0 0 0"
learned,0,,0.3273278698165936,1.0,0.98193359375,0.2642822265625,0.06842041015625,0.13470458984375,0.5959812342532801,1.5668984496680123e-06,1.0,1.0,1.0,1.0,0.494873046875,"2 3 20 27 12 22 3 4"
learned,1,,0.6360844145242608,1.0,0.628173828125,0.22894287109375,0.0774383544921875,0.0620574951171875,0.559888900997778,1.3465083717169756e-06,1.0,1.0,1.0,1.0,0.4319305419921875,"6 17 13 22 30 6 20 1"
learned,2,,0.4683248977604989,1.0,0.768310546875,0.2459716796875,0.0831451416015625,0.0768890380859375,0.47119781051750637,2.110595802202468e-06,1.0,1.0,1.0,1.0,0.427642822265625,"12 20 6 17 11 14 30 11"
